Workload,BASE_,PRAC_ONLY_DELAY,PRAC_MOPAC_qth8,PRAC_MOPAC_qth16
GMEAN,1.000,1.099,1.010,1.010
cam4,1.000,1.084,1.003,1.003
mix1,1.000,1.148,1.006,1.006
mcf,1.000,1.031,1.013,1.013
add,1.000,1.005,1.000,1.000
mix4,1.000,1.157,1.006,1.006
mix6,1.000,1.126,1.003,1.003
xalancbmk,1.000,1.130,1.000,1.000
scale,1.000,1.010,1.000,1.000
omnetpp,1.000,1.176,1.032,1.032
lbm,1.000,1.121,1.023,1.023
mix2,1.000,1.142,1.013,1.013
cactuBSSN,1.000,1.158,1.044,1.044
mix3,1.000,1.137,1.013,1.013
fotonik3d,1.000,1.178,1.022,1.022
masstree,1.000,1.072,1.001,1.001
bwaves,1.000,1.089,0.998,0.998
triad,1.000,1.008,1.000,1.000
blender,1.000,1.092,1.000,1.000
mix5,1.000,1.119,1.008,1.008
roms,1.000,1.094,0.998,0.998
xz,1.000,1.179,1.034,1.034
parest,1.000,1.042,1.006,1.006
copy,1.000,1.006,1.000,1.000
