Workload,BASE_,PRAC_ONLY_DELAY,PRAC_MOPAC_buf5_nrh500,PRAC_MOPAC_buf8_nrh500,PRAC_MOPAC_buf16_nrh500,PRAC_MOPAC_buf32_nrh500,PRAC_MOPAC_buf64_nrh500
GMEAN,1.000,1.103,1.087,1.032,1.009,1.004,1.003
cam4,1.000,1.084,1.025,1.010,1.008,1.000,1.000
mix1,1.000,1.176,1.162,1.053,1.010,1.004,1.003
mcf,1.000,1.031,1.053,1.017,1.010,1.005,1.005
add,1.000,1.005,0.999,1.000,1.000,1.000,1.000
mix4,1.000,1.168,1.171,1.055,1.009,1.002,1.002
mix6,1.000,1.152,1.134,1.040,1.003,1.002,1.000
xalancbmk,1.000,1.130,1.018,1.002,1.001,1.000,1.000
scale,1.000,1.010,1.000,1.000,1.000,1.000,1.000
omnetpp,1.000,1.176,1.102,1.083,1.034,1.025,1.019
lbm,1.000,1.121,1.198,1.068,1.023,1.013,1.008
mix2,1.000,1.150,1.172,1.069,1.018,1.008,1.006
cactuBSSN,1.000,1.158,1.239,1.131,1.018,1.000,0.998
mix3,1.000,1.138,1.148,1.040,1.010,1.005,1.004
fotonik3d,1.000,1.178,1.316,1.106,1.024,1.011,1.010
masstree,1.000,1.072,1.025,1.004,1.001,1.000,1.000
bwaves,1.000,1.089,1.053,1.003,0.998,1.000,1.000
triad,1.000,1.008,1.000,1.000,1.000,1.000,1.000
blender,1.000,1.092,1.003,1.001,1.000,1.000,1.000
mix5,1.000,1.162,1.123,1.034,1.009,1.005,1.004
roms,1.000,1.093,1.017,0.984,1.001,0.998,0.996
xz,1.000,1.179,1.102,1.040,1.025,1.020,1.017
parest,1.000,1.042,1.017,1.011,1.006,1.006,1.005
copy,1.000,1.006,1.000,1.000,1.000,1.000,1.000
